GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GreenBeam - OOP-Project,server.model,MetroRide,0,62,0,10,0,18,0,12,0,7
GreenBeam - OOP-Project,server.model,Meal,0,94,0,12,0,29,0,17,0,11
GreenBeam - OOP-Project,server.model,PublicTransportation,0,79,1,11,0,22,1,14,0,9
GreenBeam - OOP-Project,server.model,FuelOilEmission,0,44,0,8,0,13,0,9,0,5
GreenBeam - OOP-Project,server.model,NaturalGasEmission,0,44,0,8,0,13,0,9,0,5
GreenBeam - OOP-Project,server.model,EmissionReductions,0,115,0,14,0,38,0,21,0,14
GreenBeam - OOP-Project,server.model,Users,0,191,0,24,0,55,0,34,0,22
GreenBeam - OOP-Project,server.model,Achievements,0,76,0,10,0,23,0,15,0,10
GreenBeam - OOP-Project,server.model,BikeRide,3,79,0,12,1,22,1,15,1,9
GreenBeam - OOP-Project,server.model,LocalProduce,0,62,0,10,0,18,0,12,0,7
GreenBeam - OOP-Project,server.model,Emissions,0,112,0,14,0,33,0,21,0,14
GreenBeam - OOP-Project,server.model,Friends,0,94,0,12,0,28,0,18,0,12
GreenBeam - OOP-Project,server.model,ErrorDetails,0,96,0,14,0,27,0,20,0,13
GreenBeam - OOP-Project,server.model,EmissionsClient,0,79,0,10,0,25,0,15,0,10
GreenBeam - OOP-Project,server.model,LpgEmission,0,44,0,8,0,13,0,9,0,5
GreenBeam - OOP-Project,server.model,JwtUserDetails,2,108,1,13,1,33,2,22,1,16
GreenBeam - OOP-Project,server.model,HouseTemperature,0,65,0,10,0,19,0,13,0,8
GreenBeam - OOP-Project,server.model,WaterEmission,0,44,0,8,0,13,0,9,0,5
GreenBeam - OOP-Project,server.model,JwtUser,0,79,0,10,0,25,0,15,0,10
GreenBeam - OOP-Project,server.model,ApiRequestResponse,36,0,2,0,6,0,3,0,2,0
GreenBeam - OOP-Project,server.model,FriendsUserResp,0,133,0,16,0,40,0,24,0,16
GreenBeam - OOP-Project,server.model,TrainRide,0,62,0,10,0,18,0,12,0,7
GreenBeam - OOP-Project,server.model,TaxiRide,0,62,0,10,0,18,0,12,0,7
GreenBeam - OOP-Project,server.model,AchievementsType,0,61,0,8,0,20,0,12,0,8
GreenBeam - OOP-Project,server.model,EmissionFriend,0,64,0,8,0,20,0,12,0,8
GreenBeam - OOP-Project,server.model,EmissionType,0,67,0,10,0,19,0,14,0,9
GreenBeam - OOP-Project,server.model,ElectricityEmission,0,44,0,8,0,13,0,9,0,5
GreenBeam - OOP-Project,server.model,WasteEmission,0,44,0,8,0,13,0,9,0,5
GreenBeam - OOP-Project,server.model,AuthenticateUser,0,80,0,12,0,24,0,16,0,10
GreenBeam - OOP-Project,server.model,SolarPanels,79,0,12,0,22,0,15,0,9,0
GreenBeam - OOP-Project,server.model,PlaneRide,0,62,0,10,0,18,0,12,0,7
GreenBeam - OOP-Project,server.model,JwtAuthenticationToken,2,46,1,5,1,16,1,9,0,7
GreenBeam - OOP-Project,client.profilepage,MainProfile,45,0,0,0,16,0,3,0,3,0
GreenBeam - OOP-Project,client.profilepage,SidePanelController,140,0,6,0,27,0,9,0,6,0
GreenBeam - OOP-Project,client.profilepage,ProfileController,69,0,2,0,18,0,4,0,3,0
GreenBeam - OOP-Project,server.security,JwtGenerator,0,29,0,0,0,9,0,2,0,2
GreenBeam - OOP-Project,server.security,JwtSuccessHandler,1,3,0,0,1,1,1,1,1,1
GreenBeam - OOP-Project,server.security,JwtAuthenticationProvider,5,40,0,2,2,11,2,3,2,2
GreenBeam - OOP-Project,server.security,JwtValidator,0,42,0,0,0,15,0,2,0,2
GreenBeam - OOP-Project,server.security,JwtAuthenticationTokenFilter,11,33,0,4,3,8,1,4,1,2
GreenBeam - OOP-Project,server.security,JwtAuthenticationEntryPoint,5,3,0,0,2,1,1,1,1,1
GreenBeam - OOP-Project,client.services,UserService,647,166,40,14,161,48,32,13,12,6
GreenBeam - OOP-Project,client.services,ApiService,2469,0,0,0,312,0,4,0,4,0
GreenBeam - OOP-Project,client,UserToken,8,0,0,0,4,0,3,0,3,0
GreenBeam - OOP-Project,server.controller,TokenController,0,64,0,4,0,15,0,4,0,2
GreenBeam - OOP-Project,server.controller,UserController,229,634,28,62,40,137,19,52,3,23
GreenBeam - OOP-Project,client.listenertest,MainSceneController,112,0,0,0,30,0,5,0,5,0
GreenBeam - OOP-Project,client.listenertest,MainSceneController.MyTask,22,0,0,0,5,0,2,0,2,0
GreenBeam - OOP-Project,client.listenertest,ObservableApplication,31,0,0,0,11,0,3,0,3,0
GreenBeam - OOP-Project,client.listenertest,HelloWorld,7,0,0,0,3,0,2,0,2,0
